Date,Time,Location,Airline/Op,Aboard,Fatalities,Summary
1961,,Off Puerto Rico,Air Haiti International,3,3,Went missing en route.
1961,5, Brazil,Aerolineas Argentinas,52,52,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure."
1961,,Sao Tomé,Military - Força Aérea Portuguesa,35,21,
1961,,Sydney,Ansett ANA,15,15,"Crashed 9 minutes after taking off, into Botan Bay, 3 miles south of the airport . In-flight structural failure due to turbulence."
1961,, Germany,Lufthansa,3,3,Crashed into an open field in a steep dive after attempting an emergency landing.
1961,, Belgium,Military - Belgian Air Force,13,13,Midair collision between two C-119s.
1961,, Nicaragua,Lanica,2,2,The cargo plane cashed while attempting to land. Shifting cargo.
1961,, Turkey,British European Airways,34,27,"Shortly after taking off from Esenboga Airport, the aircraft assumed an excessively steep climbing angle, stalled and crashed. The probable cause of the accident was the obstruction of the pitch pointer in the captain's director horizon which led him to make an excessively steep climb. One of three screws had worked its way loose and blocked the pointer on the dial from indicating the correct pitch."
1961,10,Old Harbor,Kodiak Airways,5,1,
1961,, Indonesia,Garuda Indonesia Airlines,14,14,
1962,, Ethiopia,Ethiopian Airlines,18,5,Swerved off the runway while taking off and struck a structure.
1962,15,Bolivia,Corporacion Boliviano de Fomento,6,6,"The cargo plane's right wing tip struck a wall and then the plane crashed into a tree. Pilot error in failing to discontinue takeoff, even after the right wing tip hit the well and broke off, while the aircraft was on the ground during the takeoff run."
1962,, USSR,Aeroflot,13,13,Crashed on takeoff. Engine failure
1962,10, Peru,Faucett,18,18,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight."
1962,,Portlamar,Avensa,23,23,"Approximately 10 minutes after takeoff , for a scheduled flight to Cumana, the aircraft crashed into the San Juan Mountains."
1962,14, Colombia,Avianca,2,2,"After taking off the crew of the cargo plane declaired an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft."
1962,10,Jamaica Bay,American Airlines,95,95,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft."
1962,18, Cameroon,Caledonian Airways,111,111,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.
1962,, South Africa,South African Airways,7,2,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions."
1962,17, Turkey,Turkish Airlines (THY),11,11,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude."
1962,, Italy,Societa Aerea Mediterranea,5,5,The cargo plane crashed into Mt. Velino while en route.
1962,17, France,Military - U.S. Air Force,15,15,The transport was taking part in a parachute drop mission with five other aircraft when it crashed.
1962,1, Alaska,Flying Tiger Line,7,1,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach."
1962,0, Philippine Sea,Flying Tiger Line,107,107,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined."
1962,,Algeria,Military - French Air Force,11,11,
1962,17, Cuba,Cubana de Aviacion,22,22,Crashed shortly after takeoff into the sea 1 mile offshore and sank. The weather was clear.
1962,15, Colombia,Military - Colombian Air Force,31,31,"Due to winds, the aircraft was 10 degrees off course as it prepared to land at Villavicencio and crashed into a 11,500 ft. mountain."
1962,, Colombia,AVISPA,40,40,"Nothing was heard from the aircraft after departing Bahia Solano. The wreckage was found 4 days later, 31 miles from the airport on Bonito Peak at an elevation of 2,400ft."
1962,13, England,East Anglian Flying Services,18,12,"The plane descended to 1,000 ft while approaching Portsmouth in low clouds and drizzle and stuck St. Boniface and bust into flames. Pilot error. Crew flew below minimum safe altitude."
1962,, Burma,Military - Union of Burma Air Force,32,32,The plane crashed and burned in a ravine after experiencing engine failue.
1962,19, Brazil,Cruzeiro,25,23,Crashed into trees short of the runway while on approach. Approach not carried out in accordance with company procedures and misjudgement of his distance from the runway.
1962,, Greenland,East Provincial Airways,21,15,"While landing on the water, the plane abruptly swerved to the right and sank in a short period of time. Because of a malfunction, the nose wheel doors were not closed and locked. The doors were torn off in the landing, allowing water to enter the wheel well severely damaging the aircraft."
1962,, Egypt,United Arab Airlines,3,3,The cargo plane crashed shortly after taking off.
1962,, Kenya,Military - U.S. Air Force,13,13,Struck a mountain in poor weather conditons.
1962,11, West Germany,Military - U.S. Navy,26,26,"After departing Rhein-Main Air Base, the pilot sent a distress message requesting an emergency landing.  Soon after, the aircraft disintegrated losing it's left wing. Some sort of undetermined emergency led to explosive decompression which led to the destruction of the plane."
1962,21, Missouri,Continental Airlines,45,45,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot."
1962,12,Villeneuve-le-Roi,Air France,132,130,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor."
1962,, Bulgaria,Aeroflot,5,5,Struck a mountain after losing an engine.
1962,4,Basse-Terre,Air France,112,112,"The aircraft crashed into a 1,400 ft. hill while on approach, 15 miles from the runway threshold. Nonfunctioning VOR station. Insufficient meteorological information given to the flight crew. Malfunctioning automatidirection finder due to the effects of poor atmosphericonditions. The aircraft was named Chateau de Chantilly."
1962,, Russia,Aeroflot,81,81,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.
1962,, USSR,Aeroflot,84,84,The aircraft went into an uncontrollable dive from FL 290.
1962,,Near Tashkent,Aeroflot,14,14,
1962,23,Near Junnar,Alitalia,94,94,"The aircraft crashed into a hill near Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available."
1962,21, Italy,Trans Mediterranean Airways,6,6,"The cargo plane descended and crashed into the ocean attempting to take off. A loss of power on the No.1 and 2 engines following takeoff, which resulted in a gradual loss of height. The probable slow psycho-physical reaction of the crew, due to fatigue, may have prevented perception of the danger and the timely execution of maneuvers to prevent the accident, or minimize its consequences."
1962,, Pakistan,Indian Airlines,3,1,A vulture crashed through the cockpit window and killed the copilot.
1962,, India,Kalinga Airlines,9,9,Stalled and crashed.
1962,15, Thailand,United Arab Airlines,26,26,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error."
1962,23, Hawaii,Canadian PacifiAir Lines,40,27,"Shortly after takeoff, a fire warning indication caused the pilot to feather the propeller on the No. 1 engine. Fuel was jettisoned, and the flight returned to Honolulu for landing approximately 40 minutes after departure. The three-engine landing approach appeared normal until the aircraft had proceeded beyond the runway threshold and had commenced its landing flare at an altitude of approximately 20 feet above the runway centerline. A go-around was attempted from this position and the aircraft banked and veered sharply to the left. Initial ground contact was made by the left wing tip approximately 550 feet to the left of the runway centerline. The aircraft progressively disintegrated as it  moved across the ground, then struck heavy earth-moving-equipment parked approximately 970 feet from the runway centerline. The accident was caused by the attempted three-engine go-around, when the aircraft was in a full landing configuration, at insufficient airspeed and altitude to maintain control."
1962,, Russia,Aeroflot,81,81,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general."
1962,, France,Air France,8,4,Crashed during a training flight.
1962,13, Nepal,Royal Nepal Airlines,10,10,"Crashed into a 11,200 ft. mountain, 100 miles from New Deli. Dirfted off course to the north of the intended track."
1962,22, Brazil,Panair do Brazil,105,15,Rejected takeoff. Overran runway into the sea. Incorrect stabilizer setting. Stablizer setting changed from nose-up to nose-down position. Delayed decision to abort takeoff.
1962,15, Colombia,Taxader Airlines,32,20,"While taking off, the aircraft began to veer to the left. The pilot corrected to avoid a collision with the T wind indicator and crossed into the parking apron. The pilot applied full power and decided to take off from the apron. The starboard wing struck two helicopters, cart wheeled and burst into flames. Pilot error. Poor flight technique, faulty judgment in trying to take off outside of the main runway."
1962,, Peru,Faucett,9,9,Crashed into the jungle near San Ramon.
1962,, USSR,Aeroflot,86,86,The airliner crashed and burned 10 minutes after taking off from Khabarovsk Airport.The crew reported that they were experiencing shaking and uncontrollable roll and yaw.
1962,16, Japan,Military - Japan Maritime Self Defense Force,12,12,"On a disaster relief mission, the plane clipped tree tops and crashed."
1962,21, Ohio,Private - Ashland Oil Company,13,13,"The aircraft lost its right wing in flight, crashed and burned in a field. Malfunction of the electrielevator trim tab unit which resulted in aircraft uncontrollability and subsequent structural failure of the wing."
1962,9, Czechoslovakia,Ceskoslovenske Aerolinie,34,11,Crashed on approach.
1962,11, Washington,Military - U.S. Air Force,44,44,Crashed into a wooded area in broken overcast  while attempting to land at Fairchild Air Force Base. Navigational error.
1962,, Bolivia,Aerolineas Abaroa,4,4,"The failure of the left engine and execution of a sharp 180 degree turn to the left of the original flight path. This was the only possible maneuver since the valley ahead narrowed and a turn to the right could not be effected, because the aircraft was close to - and below the altitude of - a mountain on that side."
1962,, India,Kalinga Airlines,8,8,Stuck a mountain in poor weather.
1962,21,North AtlantiOcean,Flying Tiger Line,76,28,"A fire developed in the No. 3 engine. A few minutes later, the propeller of the No. 1 engine oversped and the flight engineer inadvertently closed the firewall shutoff valve to the No. 1 engine. The No. 1 engine was then shut down. The No. 2 engine then developed mechanical trouble. The plane ditched at sea approximately 560 nm W of Shannon, Ireland. Failure of 2 of the 4 aircraft's engines and the improper action of the flight engineer which disabled a 3rd engine necessitating a ditching at sea."
1962,18,Spt-Îles,Trans Canada Air Lines,19,2,"Collided with a RCAF CF-101B Voodoo fighter plane on the runway. The controller having assumed in error that the Viscount was turning off at the high speed taxi strip, cleared the Voodoo aircraft for takeoff before the Viscount was clear of the active runway."
1962,, Philippines,Philippine Air Lines,3,3,Crashed while practicing take offs and landings.
1962,, Spain,Iberia Airlines,18,18,Crashed into mountain while attempting to land.
1962,20, Connecticut,Allegheny Airlines,52,1,"Following departure from Philadelphia, a high frequency whistling noise was heard and inspection revealed an escape of air at the lower aft corner of the rear service door. Pillow cases were placed in this area to reduce the air noise but no further action was taken. While the aircraft was descending through 4,000 feet the door blew out. The ensuing outward rush of air ejected a flight attendant who was near the door opening. Undetected insecure latching of the rear service door, resulting in an inflight explosive decompression which ejected a flight attendant from the aircraft."
1962,, Russia,Aeroflot,10,10,Crashed on takeoff on a test flight. Rudder controls improperly installed.
1962,14, South Vietnam,Air Vietnam (South Vietnam),27,27,"Crashed into 1,800 ft. mountain, 12 miles from the Da Nang airport. Navigational error in poor weather conditions."
1962,, Japan,All Nippon Airways,4,4,"Made a sharp turn, nosed up and hit the ground."
1962,12, Maryland,United Air Lines,18,18,"The aircraft penetrated a flock of Whistling Swans at 6,000 ft. One, estimated to be 13 pounds, struck the leading edge of the left horizontal stabilizer, weakening the structure and causing it to detach. The aircraft lost control and broke-up in mid-air and crashed. Bird collision."
1962,,Sao Tomé & Principe,Military - Portuguese Air Force,37,23,Crashed while taking off in a storm.
1962,14, France,Malev Hungarian Airlines,21,21,"Stalled and crashed during approach, 0.5 miles from the outer marker. Cause undetermined."
1962,12, Brazil,VASP / Private,26,26,"Midair collision with a Cessna at 2,400 m. Twenty-three killed on the Saab, three on the Cessna. Both pilots failed to maintain adequate lookouts for other aircraft."
1962,3, Peru,Varig,97,97,"After initiating an overshoot procedure, at the suggestion of the control tower, because it was too high, the aircraft proceded to start another approach when it crashed into La Cruz Peak. Possible misinterpretation of navigation instruments."
1962,21, New York,Eastern Air Lines,51,25,"The aircraft was 1,000 ft past the ILS touchdown point and at an altitude of 25 ft. when a loss of visual reference caused the crew to abandon their approach. The landing gear was retracted, 20 degrees flaps selected and climb power applied.  At 3,500 ft. from the threshold, in a 6 degree left bank and speed of 135 knots the No. 1 and 2 propellers struck the ground. The aircraft hit a mound of earth and broke up. Crew failed to follow approved procedures. Technique employed by the crew during abandonment of the approach under fog conditions that were not adequately reported."
1962,17, Colombia,Taxader Airlines,26,24,Crashed in heavy rain while en route. Pilot error. Flight under VFR in IFR conditions.
1962,2, Brazil,Panair do Brasil,50,50,Crashed 9 miles short of its destination. Cause unknown. The aircraft was named Estevao Ribeiro Baiao Parente.
1962,22, California,Flying Tiger Line,5,5,The aircraft crashed during an ILS approach to Burbank Airport. Incapacitation of the captain with a heart attack at a critical point in the approach from which the co-pilot could not recover.
1962,19, Poland,LOT Polish Airlines,33,33,Stalled and crashed 8 miles from the threshold after being struck by lightning.
1962,, Okinawa,Military - U.S. Air Force,12,12,"Twelve killed, including civilians. Two civilian houses burnt."
1962,, Brazil,Varig,40,1,"Crashed short of the runway, striking trees. The aircraft descended below the prescribed altitude for undetermined reasons."
1962,, The Netherlands,Carvair ATL-98,18,1,"The pilot carried out the final stage of approach below the normal glide path with insufficient engine power, as a result of which the speed of descent was too high in relation to the horizontal distance still to be covered to the beginning of the runway. Consequently, the aircraft, at a high vertical speed, hit a dyke, after facing the direction of approach."
1962,1,Monte Renosa,Air Nautic,25,25,"Crashed into Mt. Renoso at 7,450 ft. Crew fatigue. Inadequate preparation for the flight. Entered cruise at a high rate of speed. Navigational errors. Failed to maintain safe altitude. Decent started prematurely."
1963,23, Alaska,Wien Alaska Airlines,6,5,Crashed in poor weather conditions while on final approach. Continued VFR flight into adverse weather conditions. Descended below obstructing terrain during night VFR approach.
1963,, Brazil,Cruzeiro,45,13,The crippled airliner crashed into houses and burst into flames as it was coming in for an emergency landing in steady rain.
1963,15, Utah,West Coast Airlines,3,3,Crashed into the Great Salt Lake while practicing an emergency decent during training. Crews lack of vigilance for undetermined reason.
1963,, Alaska,Skyvan Airways,2,1,The cargo plane crashed after a go-around was attempted.  An uncontrollable loss of altitude caused by adverse wind conditions during an attempted go-around.
1963,22, Missouri,Continental Airlines,8,8,"While making a straight in approach, the aircraft continued flying over the runway to the south end and while at a height of 90 feet, suddenly pitched down and struck the ground. Icing of the horizontal stabilizer which led to loss of pitch control."
1963,, Maryland,Military - U.S. Navy,14,14,Crashed en route into the ocean.
1963,17, Turkey,Middle East Airlines / Military - Turkish Air ForceC-47,17,17,"Midair collision between a civilian and military aircraft. Both planes crashed into a heavily populated area destroying buildings, houses and vehicles. Fourteen killed on the Viscount, three on the C-47 and 87 on the ground. Cause attributed to a military flight training zone extending into the approach pattern associated with civilian aircraft. The Viscount aircraft had an IFR flight plan but was cruising under VFR conditions and did not see the C-47 until it was too late."
1963,12, California,Slick Airways,8,3,"The aircraft struck approach lights 1,170 feet from the runway threshold, climbed to about 200 feet and then crashed approximately 1,900 feet beyond the threshold and on the left edge of Runway 28L. Continuation of an instrument approach after adequate visual reference was lost below authorized minimums. Inadequate monitoring of the  instrument approach by the PAR controller was a contributing factor."
1963,,Russia,Aeroflot,7,7,The plane stalled and crashed.
1963,13, Florida,Northwest Orient Airlines,43,43,"The aircraft crashed 37 miles west-southwest of Miami after penetrating a thunderstorm and encountering severe turbulence. The aircraft initially entered an area of updrafts followed by downdrafts which put the aircraft into a high speed dive. While trying to pull out of the dive, the aircraft broke apart from excessive g forces. The crew is believed to have concentrated on maintaining a given airspeed in an extreme turbulence condition instead of flying attitude. In doing so, excessive stress was applied to the wings which separated from the fuselage. The weather was considerably worse than forecast."
1963,21, Massachusetts,Eastern Air Lines,26,0,"With engines idling, a girl ran into the No. 2 propeller despite warnings of ramp personnel. Suicide."
1963,10, Philippines,Philippine Air Lines,27,27,"Crashed into Mt. Boca during descent for landing. Limited visibility, crosswinds contributing to navigational error."
1963,18, Tennesee,Private,4,4,"The plane took off from Dyersburg and flew into a storm. The pilot, Randy Hughes, was not instrument rated, lost control and crashed. The plane was at full throttle in a 45 degree downward attitude when it struck the ground. Singer, Patsy Cline, 30, killed. Also killed were Hawkshaw Hawkins, 39,, Cowboy Copas, 49, and Cline's manager, Randy Hughes, 35. Cline’s friend, Dottie West, offered a ride to Cline. They were to travel  from Kansas City, Kansas, to Nashville. West tried to persuade Cline to ride in the car, believing it was safer. Cline was eager to return home to her children and wanted to take her flight. She refused to ride with West. Cline allegedly told West she was ready if it was her time to leave. Noninstrument pilot attempted visual flight in adverse weather conditions, resulting in a loss of control. Judgment of the pilot in initiating flight in the existing weather conditions."
1963,5, Iran,Middle East Airlines,4,4,The cargo plane crashed after experiencing engine trouble.
1963,13, Bolivia,Lloyd Aereo Boliviano,41,41,"Struck 14,250 ft. Chachacomani Peak. Flight under VFR in IFR conditions in marginal weather conditions with severe turbulence."
1963,2, Italy,Saudi Arabian Royal Flight,18,18,Crashed into a mountain during approach. Cause unknown.
1963,11, Japan,Military - Japan Air Self Defense Force,10,10,
1963,, Italy,Itavia,11,11,"Crashed into Monte Vale Rotonote, 53 miles southeast of Rome, where the plane was scheduled to land.  Navigation error. Descending too low in order to maintain visual contact with the ground. Poor weather conditions. Failure to notify ATC of the changes made during the flight."
1963,12, Norway,Icelandair,12,12,"Crashed on approach, 6 km west of the runway. Possible icing of the stabilizer."
1963,13, Cameroon,Air Afrique,55,55,"The aircraft flew into a mountain at 6,500 ft. Navigation error. Crew choose to fly a prohibited route at too low an altitude."
1963,, Brazil,Cruzeiro,50,37,"The aircraft returned to airport after the No. 2 caught fire. The crew feathered the prop, made a left turn, stalled and crashed into a house. Improper feathering procedure."
1963,, Egypt,United Arab Airlines,34,34,Crashed into an orange grove while en route.
1963,10,PacifiOcean,Northwest Orient Airlines,101,101,"The aircraft was being flown under contract to the military. While en route, the aircraft crashed into the sea.  The last known message was a request to ascend from 14,000 ft. to 18,000 ft. The last known position was 54 degrees 14 minutes N, 134 degrees 41 minutes W. Unable to determine the probable cause due to lack of evidence."
1963,4, India,Indian Airlines,29,29,"Cashed 25 miles from Amritsar. Structural failure of the aircraft in the air, following overstressing, as a result of loss of control. The loss of control was caused by improper rigging of the rudder bungee system."
1963,, Burma,Union of Burma Airways,20,20,Crashed  into Mt. Kaolokung while attempting to land.
1963,, Romainia,Tarom,31,31,Crashed between Totkomlos Bekessamson while en route.
1963,, Chile,Military - Chilean Air Force,20,19,
1963,12, West Germany,Military - Royal Belgian Air Force,47,38,The aircraft was accidentally hit in the wing by a phosphorus mortar shell fired by a British Army unit setting the aircraft on fire. Nine paratroopers were able to jump to safety before the plane crashed.
1963,, Germany,Military - Belgian Air Force,47,38,Struck by British mortar fire over Sennelager. Nine paratroopers were able to jump to safety before the plane crashed.
1963,, Brazil,Varig,18,15,Crashed into trees during initial approach in heavy fog. Error in judgment by the pilot in attempting to fly visually in unfavorable weather conditions during twilight.
1963,15, New York,Mohawk Airlines,43,7,The pilot lost control of the aircraft while attempting to take off in a thunderstorm and crashed.  Poor decision by pilot-in-command  to take off during a severe thunderstorm.
1963,9, New Zealand,New Zealand National Airways,23,23,"Crashed  while on a descent to Tauranga the aircraft experienced heavy rain, turbulence and extreme downdrafts on the lee side of a mountain. The plane crashed into the Kaimai Range at 2,460 ft., just 300 feet below the nearest summit. Premature descent by the pilot-in-command. Misleading forcast. Lack of DME equipment at the airport."
1963,, Russia,Aeroflot,35,35,Crashed 2 miles short of the runway during approach. Premature descent.
1963,, Madagascar,Air Madagascar,12,6,Crashed while taking off.
1963,, Laos,Air America,6,6,The cargo plane crashed into a fog shrouded mountain.
1963,1,Off Bandra,United Arab Airlines,63,63,"The aircraft crashed into the Arabian Sea while on a flight from Tokyo, Japan to Egypt while preparing to land in rain and turbulence. The pilot may have lost control while turning into an area of severe turbulence and heavy rain."
1963,, South Africa,Military - South African Air Force,13,13,The aircraft suffered extreme air frame icing and crashed inverted into a mountain.
1963,13, France,Air Inter,20,20,Struck by lightning while on initial approach in a thunderstorm. The accident resulted from exceptionally bad weather conditions in the area where the aircraft was holding at the request of Lyon Approach. The Board did not rule out the possibility of a flash of lightning dazzling the crew and causing temporary blindness or appreciably incapacitating both crew members.
1963,15, Montana,American Air  Export & Import Co.,2,1,"The aircraft lost an engine during takeoff and could not gain sufficient altitude, entered a canyon which forced a landing in a field causing the aircraft to strike a small earth dam. The failure of the captain to effect a proper and timely assessment of a power plant malfunction, followed by improper judgment and technique during a single-engine emergency operation."
1963,, Japan,Fujita Koku Kabushki Kai,19,19,Crashed into mountains shortly after taking off from Hachijo. Cause unknown.
1963,12, Russia,Aeroflot,52,0,After the landing gear did not retract  after takeoff the flight was diverted to Leningrad because of fog.  After circling for a long time the plane began to lose it's engines because of fuel starvation and a ditch was carried out in River Neva.
1963,12, Florida,Military - U.S. Air Force / Military -  U.S. Air Force,16,16,"A mid-air collision occurred approximately 700 miles east of Miami, Florida."
1963,6,Durrenasch,Swissair,80,80,"Prior to departure from Zurich Airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. The aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 15 miles WSW of Zurich. Braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a fuel line which caused a fire to start which ultimately led to the loss of control of the aircraft."
1963,, France,Air Nautic,40,40,Crashed into Pide la Roquette while descending for an approach to Perpignan. Navigational error.
1963,, India,Indian Airlines,18,18,Went into a steep dive and crashed into a field. Cause unknown.
1963,, Deleware,Military - U.S. Air Force,10,10,Crashed into the ocean shortly after taking off.
1963,, France,Aeronaves de Panama,6,6,Crashed shortly after taking off with a cargo of 30 dairy cows.
1963,11, New York,New York Airways,6,6,The helicopter crashed to the ground and burned. Fatigue failure of the drive quill shaft due to contamination of the lubrication system in the aft transmission assembly.
1963,, Egypt,Military - Soviet Air Force,31,31,Crashed and  burned in a sandstorm while attempting to land at Aswan.
1963,, Russia,Aeroflot,5,5,
1963,10, England,British Aircraft Corporation,7,7,During a stalling test the aircraft entered a stable stalled condition from which recovery was not possible.
1963,17,Mariehamn,Finnair,24,22,The aircraft flew below the safe flying altitude and hit trees on the approach line in fog. Wrong indication of the pilot's altimeter during the instrument approach. Landing carried out in below minimum conditions.
1963,18, Canada,Trans Canada Air Lines,118,118,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.
1963,19, Colorado,Zantop Air Transport,3,3,"The cargo plane impacted a vertical rock face at 12,500 ft. Pilot in command executed improper in-flight decisions and planning and exercised poor judgment."
1963,20, Maryland,Pan American World Airways,81,81,"The airliner was on a flight from Baltimore to Philadelphia. The aircraft was in a holding pattern along with 5 other planes when the control tower received a Mayday message. The plane was seen going down in flames and crashed 10 miles southwest of New Castle, Delaware. The aircraft was struck by lightning.  Lightning induced ignition of fuel tank vapors. Within two weeks after the accident, the FAA ordered lightning discharge wicks to be installed on all commercial jet airliners. The aircraft was named Clipper Tradewind."
1963,10, Afghanistan,Trans Mediterranean Airways,3,3,"The cargo plane struck a mountain while en route. A wrong estimation of the wind speed and direction resulted in a navigation error which brought the aircraft 42 nm from the approved air route. Possible contributing factors were: lack of weather forecast prior to takeoff, personal worries, fatigue and lack of oxygen, inadequate charts and maps."
1963,, Egypt,Misrair,6,6,Crashed shortly after taking off.
1963,23, California,Western Airlines,46,0,The  No 1. and No2. Engine propellers touched the runway after an attempted go-around during landing.  A safe landing was made at Lockheed Air Terminal in Burbank.  Failure of the pilot to maintain a positive rate of climb and the premature retraction of the landing gear during a go-around in the fog.
1964,9, Argentina,Aerolineas Litoral Argentina,30,28,"The pilot reported a localized fire in the cabin. Soon after, he attempted to land at an airfield close to Zarate.  The aircraft struck the ground with its landing gear, left engine and wing which resulted in a break-up of the plane and subsequent fire. Crew was possibly overcome by fumes from the fire."
1964,23, Arizona,Commercial Air Taxi,2,2,Crashed to the ground during final approach in snow showers. Improper IFR operation. Weather below minimums. Weather considerably worse than forecast.
1964,, Turkey,Turkish Airlines (THY),3,3,The cargo plane crashed short of the runway while on approach. Improper IFR procedure. Descended below MDA.
1964,8, Florida,South Central Airlines,10,10,"The aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of Runway 6. Pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion."
1964,, Bolivia,Lloyd Aéreo Boliviano,29,2,The aircraft crashed shortly after taking off.
1964,, Bahamas,Private air taxi,4,4,Disappeared while en route. Probable cause undetermined.
1964,, Michigan,Commercial Air Taxi,4,4,Disapperared en route. Missing aircraft not recovered. Probable cause undetermined
1964,15, India,Military - Indian Air Force,13,13,Crashed en route.
1964,16, Philippines,Philippine Air Lines,32,31,Struck trees on a mountain ridge and crashed while attempting to land. Continued flight under VFR into IFR conditions.
1964,, India,Military - Indian Air Force,22,22,Exploded in the air after takeoff.
1964,4, Montana,Commercial Air Taxi,2,2,Airframe failure in flight due to overloading. Pilot continued VFR flight into adverse weather conditions.
1964,2,Lake Pontchartrain,Eastern Air Lines,58,58,"The aircraft crashed into Lake Pontchartrain, 19 miles northeast of New Orleans International Airport, shortly after taking off. Mechanical failure. Uncommanded extension of the pitch trim compensator. Degradation of aircraft stability characteristics in turbulence, because of abnormal longitudinal trim component positions.  Malfunctioning pitch trim compensator."
1964,6, Japan,Fuji Airlines,42,20,"Ran past end of runway when landing and ran into a lumber pile. Malfunctioning propeller reverser, excessive speed and insufficient  braking."
1964,14, Austria,British Eagle International Airlines,83,83,"The aircraft crashed into Mt. Glungezer and then slid down a gorge, 10 miles ESE of the airport while in a holding pattern. The pilot descended below the minimum safe altitude in an apparent attempt to penetrate the overcast flying VFR in IFR conditions."
1964,11, Nevada,Paradise Airlines,85,85,The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named City of Los Angeles.
1964,18, Colombia,Taxi Aereo de Santander,28,28,Crashed during final approach. Evasive maneuver to avoid a mid-air collision with another aircraft caused the pilot to lose control of the aircraft.
1964,23,Near Chicago Illinois,Snow Valley Ski Lines,30,1,Crashed after executing a missed apporach. Improper operation of powerplant and powerplant controls.
1964,8, Massachutes,Slick Airways - Cargo,3,3,"While on approach, the cargo plane suddenly pitched down and crashed short of the runway. Loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery."
